object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date
97-12-4D,Wedding Belt,1978-1985,Woven,Silk,"Belt. Part of wedding outfit. Embroidered strip of cloth of pink, red, blue, white, orange, green native provincial made silk. Woven geometric pattern. Tassles at each end. Made by Tonying Wu's mother.","L: 192 cm, W: 8 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/269848,https://www.penn.museum/collections/assets/060T/601k/601637_1600.jpg,images/penn/97-12-4D.jpg,"Purchased from Tongying Wu, 1997",97-12-4D,2026-05-06
97-12-4B,Pants,1978-1985,Woven | Dyed,Cotton,"Pants worn with wedding outfit. Indigo dyed. Stiff, leathery, shiny cloth. Indigo cotton waistband.","L: 81 cm, W: 75 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/215667,https://www.penn.museum/collections/assets/060T/600k/600714_1600.jpg,images/penn/97-12-4B.jpg,"Purchased from Tongying Wu, 1997",97-12-4B,2026-05-06
51-41-16,Cartoon,15th Century - 1951,Asian,Paper | Ink,Cartoon for a painting made by wood block print on coarse native paper. Probably printed in Derge. Image of a high lama incarnation on a lotus throne.,"L: 32 cm, W: 27 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/156199,https://www.penn.museum/collections/assets/098T/986k/986391_1600.jpg,,"Gift of Schuyler V. R. Cammann, 1951",51-41-16,2026-05-06
97-12-4A,Wedding Jacket,1978-1985,Embroidered | Woven,Cotton | Silk,"Wedding jacket made and worn by Tongying Wu, Miao textile artist. These jackets were worn for weddings and then later for special occasions. Black cotton with elaborately embroidered strips on neckline and shoulders. Bright colors, especially red. Embroidered images of people, serpents, bats, elephants, and other animals. Cloth is stiff. Native provincial made cotton and silk.","L: 115 cm, W: 85 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/93862,https://www.penn.museum/collections/assets/060T/600k/600890_1600.jpg,images/penn/97-12-4A.jpg,"Purchased from Tongying Wu, 1997",97-12-4A,2026-05-06
97-12-4C,Wedding Apron,1978-1985,Embroidered | Woven,Cotton | Silk,"Wedding apron or skirt made and worn by Tongying Wu, Miao textile artist. These aprons were worn for weddings and then later for special occasions. Rectangular apron made of four strips of cloth sewn together: top indigo stiff material; central embroidered white cotton panel with fringe; and two blue silk embroidered side panels. Bright colors, with alot of red. Embroidered images of dog/lion, people, butterflies, a half-human/half-serpent, goldfish, bats and serpents or snakes on central panel. Side panels with flowers, phoenixes and other small rodents. Native provincial hand woven cotton and silk.","L: 73.5 cm, W: 62.5 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/257062,https://www.penn.museum/collections/assets/060T/600k/600715_1600.jpg,images/penn/97-12-4C.jpg,"Purchased from Tongying Wu, 1997",97-12-4C,2026-05-06
55-34-7,Oracle Bone,Shang Dynasty,Inscribed,Bone,"Fragment of bone with ancient Chinese characters inscribed on it. Said to be one of a collection of oracle bones obtained by Langdon Warner in 1913-14 at the village of Xiaotun at the site of Anyang. Shang Dynasty kings used oracle bones as a form of divination to seek supernatural guidance about important political, social, and personal issues. Usually created from cattle shoulder blades and the underside of turtle shells, the bones were smoothed and then heated until they cracked. By interpreting the cracks, royal diviners believed they were receiving insight that allowed them to answer questions about the future. In many cases, a record of the reading was written on the bones. These texts provide invaluable information about early Chinese religion, politics, and elite life.","W: 2.2 cm, H: 5.5 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/356742,https://www.penn.museum/collections/assets/036T/362k/362261_1600.jpg,,"Exchange with Peabody Museum, Harvard, 1955",55-34-7,2026-05-06
79-23-1K,Interleaf Pad,12/21/1648,Woven | Brocaded,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread. One of five pads to be placed between the jade pages of 79-23-1A-J.,"W: 12.8 cm, H: 29.5 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/61646,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,images/penn/79-23-1K.jpg,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1K,2026-05-06
79-23-1O,Interleaf Pad,12/21/1648,Woven | Brocaded,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread. One of five pads to be placed between the jade pages of 79-23-1A-J.,"W: 12.8 cm, H: 29.5 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/123394,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,images/penn/79-23-1O.jpg,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1O,2026-05-06
79-23-1M,Interleaf Pad,12/21/1648,Woven | Brocaded,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread. One of five pads to be placed between the jade pages of 79-23-1A-J.,"W: 12.8 cm, H: 29.5 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/272875,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,images/penn/79-23-1M.jpg,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1M,2026-05-06
79-23-1N,Interleaf Pad,12/21/1648,Woven | Brocaded,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread. One of five pads to be placed between the jade pages of 79-23-1A-J.,"W: 12.8 cm, H: 29.5 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/320081,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1N,2026-05-06
79-23-1L,Interleaf Pad,12/21/1648,Woven | Brocaded,Silk | Gold Thread,Small rectangular cloth pad of yellow silk brocade with floral motif in gold thread. One of five pads to be placed between the jade pages of 79-23-1A-J.,"W: 12.8 cm, H: 29.5 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/177385,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,images/penn/79-23-1L.jpg,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1L,2026-05-06
79-23-1P,Book Pad,12/21/1648,Woven | Brocaded | Printed,Silk | Gold Thread,Rectangular cloth pad of yellow silk brocade with floral motif in gold thread.,"L: 40 cm, W: 26.5 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/122275,https://www.penn.museum/collections/assets/016T/166k/166856_1600.jpg,images/penn/79-23-1P.jpg,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1P,2026-05-06
79-23-1Q,Book Wrapper,12/21/1648,Woven | Brocaded,Silk | Gold Thread,Square cloth wrapper of patches of yellow cloth with printed gold designs of circular medallion with dragon at center and four corner motifs. Backing is plain yellow silk. At one corner a tie of yellow silk with gold thread brocade approximately 114 cm in length and 3.5 cm in width is attached.,"L: 80 cm, W: 78 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/90263,https://www.penn.museum/collections/assets/016T/166k/166835_1600.jpg,images/penn/79-23-1Q.jpg,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1Q,2026-05-06
79-23-1S,Box,Qing Dynasty,Painted | Gilded,Wood | Gilding,Box for storage of jade tablets. Gilded with molded decoration of dragons on exterior.,"L: 42.2 cm, W: 28 cm, H: 30 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/265182,https://www.penn.museum/collections/assets/014T/142k/142951_1600.jpg,images/penn/79-23-1S.jpg,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1S,2026-05-06
35-25-6,Arrow Head,Shang Dynasty - Modern,Asian,Iron,Arrow head. Iron. Point with triangular sections; long shank somewhat squared. Corroded and bent. Obtained at Hongqiao Pass through the Great Wall.,,University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/127334,https://www.penn.museum/collections/assets/019T/193k/193699_1600.jpg,images/penn/35-25-6.jpg,"Gift of William C. Watts, 1935",35-25-6,2026-05-06
79-23-1R,Book Wrapper,12/21/1648,Woven | Brocaded | Printed,Silk | Gold Thread,"Square cloth wrapper made up of irregular sized patches of yellow silk brocade with cloud motif and printed gold designs of circular medallion with dragon at center, four smaller circular medallions and four corner motifs. Backing is plain yellow silk. Rust stains and holes especially on backing.","L: 113 cm, W: 117 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/339661,https://www.penn.museum/collections/assets/016T/166k/166902_1600.jpg,images/penn/79-23-1R.jpg,"Gift of Smedley D. Butler, Jr., Thomas R. Butler, Edith M. P. Wehle and Philippa Wehle Chill, 1979",79-23-1R,2026-05-06
20469,Tile,17th Century,Asian,Ceramic,Yellow glazed pottery terminal tile.,"L: 31 cm, W: 22 cm, H: 20.3 cm",University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/43527,https://www.penn.museum/collections/assets/069T/699k/699399_1600.jpg,images/penn/20469.jpg,"Gift of George L. Farnum and John Edward Farnum, 1898",20469,2026-05-06
44-16-1A,Death Mask,Liao Dynasty,Asian,Silver,"The delicate features of this thin silver death mask were beaten into shape from a heavy sheet of metal. Masks like this were placed over the faces of men and women of the Kitan (Qidan) tribes that formed the Liao empire. The masks were attached to gold, silver, or copper wire shrouds that covered the buried bodies of the Kitan and were buried in Inner Mongolia and Liaoning Province from the mid-10th to early 12th century CE. The eyes are partly closed with heavy eyebrows and a long thin nose. There is a small mouth and long ears, each with a pierced hole in the lobe.",,University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/355247,https://www.penn.museum/collections/assets/002T/029k/29313_1600.jpg,images/penn/44-16-1A.jpg,"Purchased from Mathias Komor, 1944",44-16-1A,2026-05-06
59-7-1A,Mirror,3rd Century BCE,Asian,Bronze | Mirror,Small strap handle. Wide band of stylized scroll design in intaglio technique.,,University of Pennsylvania Museum of Archaeology and Anthropology,"Philadelphia, Pennsylvania, United States",https://www.penn.museum/collections/object/356467,https://www.penn.museum/collections/assets/020T/204k/204212_1600.jpg,images/penn/59-7-1A.jpg,"Gift of Mr. and Mrs. Arnold E. Moran, 1959",59-7-1A,2026-05-06
